"_id","customer___id","customer__title","customer__Fname","customer__Lname","customer__phoneNumber","customer__email","customer__adaressLine1","customer__addressLine2","customer__town","customer__county","customer__eircode","product___id","product__manufactor","product__model","product__price","__v"
"ObjectId(""60861c8b9cde0b2b9044ec10"")","ObjectId(""60861c8b9cde0b2b9044ec11"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60861c8b9cde0b2b9044ec12"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""6086286275a81e304c056c3c"")","ObjectId(""6086286275a81e304c056c3d"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","14 Kinbury","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086286275a81e304c056c3e"")","ObjectId(""6086286275a81e304c056c3f"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","14 Kinbury","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086286275a81e304c056c40"")","ObjectId(""6086286275a81e304c056c41"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""6086286275a81e304c056c42"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""6086289ec6e054694087bf6c"")","ObjectId(""6086289ec6e054694087bf6d"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","14 Kinbury","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086289ec6e054694087bf6e"")","ObjectId(""6086289ec6e054694087bf6f"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","14 Kinbury","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086289ec6e054694087bf70"")","ObjectId(""6086289ec6e054694087bf71"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""6086289ec6e054694087bf72"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""60862917c85a0e084855eb08"")","ObjectId(""60862917c85a0e084855eb09"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","14 Kinbury","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60862917c85a0e084855eb0a"")","ObjectId(""60862917c85a0e084855eb0b"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60862917c85a0e084855eb0c"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""608630ade37c34510ce1665c"")","ObjectId(""608630ade37c34510ce1665d"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
